目録番号,紙素材,デンプン粒,鉱物,細胞組織,繊維,ほか
1,コウゾ,0,0,0,0,41
2,コウゾ,0,0,497,6,62
3,コウゾ,2,6,263,0,0
4,コウゾ,0,1,236,5,0
5,コウゾ,0,0,207,6,0
6,コウゾ,0,0,207,6,0
7,コウゾ,0,0,348,9,0
8,コウゾ,0,0,194,9,0
9,コウゾ,0,0,326,8,0
10,宿紙,20,0,35,4,0
11,コウゾ,0,1,104,3,0
12,コウゾ,0,0,594,8,0
13,コウゾ,0,0,186,1,0
14,コウゾ,22,2,256,1,0
15,コウゾ,0,1,97,7,0
16,コウゾ,0,0,181,7,0
17,コウゾ,0,0,153,4,0
18,コウゾ,0,0,165,0,0
19,コウゾ,0,1,263,2,0
20,コウゾ,0,1,365,11,0
21,コウゾ,0,0,142,11,0
22,コウゾ,0,1,185,4,0
23,コウゾ,0,0,61,1,0
24,コウゾ,0,0,226,12,0
25,コウゾ,0,0,67,3,0
26,コウゾ,0,1,64,3,0
27,コウゾ,0,0,130,0,0
28,コウゾ,0,0,114,1,0
29,コウゾ,0,1,88,0,0
30,コウゾ,0,0,77,1,0
31,コウゾ,0,0,76,3,0
32,コウゾ,0,0,83,2,0
33,コウゾ,0,0,59,0,0
34,コウゾ,0,0,164,3,0
35,コウゾ,0,0,80,0,0
36,コウゾ,0,0,105,0,0
37,コウゾ,0,0,86,1,0
38,コウゾ,0,0,98,0,0
39,コウゾ,0,0,60,7,0
40,コウゾ,0,0,83,1,0
57,コウゾ,36,16,165,0,0
83,コウゾ,21,0,199,0,0
85,コウゾ,0,1,98,0,37
86,コウゾ,0,2,52,0,25
87,コウゾ,0,3,128,1,4
90,コウゾ,100,0,163,1,40
273,コウゾ,57,1,105,0,12
274,コウゾ,46,0,167,0,4
275,コウゾ,28,0,142,0,5
276,コウゾ,1,0,37,0,5
277,コウゾ,5,4,50,0,19
278,コウゾ,0,2,52,2,3
279,コウゾ,0,0,27,0,5
280,コウゾ,7,0,21,0,5
281,コウゾ,0,2,38,0,25
282,コウゾ,0,1,26,2,18
283,コウゾ,0,0,26,1,22
284,コウゾ,0,5,23,1,16
330,コウゾ,1,0,0,0,12
333,宿紙,13,3,0,0,18
584,油紙,0,0,0,0,0
698,ガンピ,0,0,0,0,13
702,ガンピ,0,0,3,0,14
