目録番号,紙素材,料紙面積,構成物合計
1,コウゾ,1546.15,15
1,コウゾ,1546.15,20
1,コウゾ,1546.15,6
2,コウゾ,2013.72,90
2,コウゾ,2013.72,43
2,コウゾ,2013.72,40
2,コウゾ,2013.72,75
2,コウゾ,2013.72,43
2,コウゾ,2013.72,87
2,コウゾ,2013.72,72
2,コウゾ,2013.72,30
2,コウゾ,2013.72,85
3,コウゾ,1889.42,130
3,コウゾ,1889.42,116
3,コウゾ,1889.42,26
4,コウゾ,1952.16,57
4,コウゾ,1952.16,30
4,コウゾ,1952.16,24
4,コウゾ,1952.16,47
4,コウゾ,1952.16,37
4,コウゾ,1952.16,47
5,コウゾ,1600.56,59
5,コウゾ,1600.56,10
5,コウゾ,1600.56,35
5,コウゾ,1600.56,43
5,コウゾ,1600.56,23
5,コウゾ,1600.56,43
6,コウゾ,1974,23
6,コウゾ,1974,52
6,コウゾ,1974,42
6,コウゾ,1974,27
6,コウゾ,1974,36
6,コウゾ,1974,33
7,コウゾ,1604.02,95
7,コウゾ,1604.02,64
7,コウゾ,1604.02,60
7,コウゾ,1604.02,29
7,コウゾ,1604.02,52
7,コウゾ,1604.02,57
8,コウゾ,1664.74,37
8,コウゾ,1664.74,27
8,コウゾ,1664.74,35
8,コウゾ,1664.74,38
8,コウゾ,1664.74,26
8,コウゾ,1664.74,40
9,コウゾ,1656.68,65
9,コウゾ,1656.68,118
9,コウゾ,1656.68,46
9,コウゾ,1656.68,51
9,コウゾ,1656.68,31
9,コウゾ,1656.68,23
10,宿紙,1561.38,1
10,宿紙,1561.38,58
11,コウゾ,1516.62,16
11,コウゾ,1516.62,11
11,コウゾ,1516.62,19
11,コウゾ,1516.62,23
11,コウゾ,1516.62,16
11,コウゾ,1516.62,23
12,コウゾ,1976.76,0
12,コウゾ,1976.76,17
12,コウゾ,1976.76,114
12,コウゾ,1976.76,51
12,コウゾ,1976.76,68
12,コウゾ,1976.76,63
12,コウゾ,1976.76,53
12,コウゾ,1976.76,36
12,コウゾ,1976.76,42
12,コウゾ,1976.76,37
12,コウゾ,1976.76,33
12,コウゾ,1976.76,49
12,コウゾ,1976.76,39
13,コウゾ,1643.04,42
13,コウゾ,1643.04,43
13,コウゾ,1643.04,27
13,コウゾ,1643.04,23
13,コウゾ,1643.04,25
13,コウゾ,1643.04,27
14,コウゾ,1882.68,72
14,コウゾ,1882.68,15
14,コウゾ,1882.68,15
14,コウゾ,1882.68,57
14,コウゾ,1882.68,35
14,コウゾ,1882.68,51
14,コウゾ,1882.68,36
15,コウゾ,1644.06,26
15,コウゾ,1644.06,21
15,コウゾ,1644.06,18
15,コウゾ,1644.06,12
15,コウゾ,1644.06,13
15,コウゾ,1644.06,15
16,コウゾ,1608.21,77
16,コウゾ,1608.21,35
16,コウゾ,1608.21,35
16,コウゾ,1608.21,10
16,コウゾ,1608.21,17
16,コウゾ,1608.21,14
17,コウゾ,1427.82,30
17,コウゾ,1427.82,16
17,コウゾ,1427.82,27
17,コウゾ,1427.82,29
17,コウゾ,1427.82,29
17,コウゾ,1427.82,26
18,コウゾ,1322.88,33
18,コウゾ,1322.88,8
18,コウゾ,1322.88,29
18,コウゾ,1322.88,26
18,コウゾ,1322.88,42
18,コウゾ,1322.88,27
21,コウゾ,1586.82,30
21,コウゾ,1586.82,22
21,コウゾ,1586.82,31
21,コウゾ,1586.82,28
21,コウゾ,1586.82,17
21,コウゾ,1586.82,25
22,コウゾ,1562.4,48
22,コウゾ,1562.4,38
22,コウゾ,1562.4,34
22,コウゾ,1562.4,16
22,コウゾ,1562.4,36
22,コウゾ,1562.4,18
23,コウゾ,1545,6
23,コウゾ,1545,4
23,コウゾ,1545,11
23,コウゾ,1545,6
23,コウゾ,1545,10
23,コウゾ,1545,25
24,コウゾ,1571.26,34
24,コウゾ,1571.26,26
24,コウゾ,1571.26,32
24,コウゾ,1571.26,36
24,コウゾ,1571.26,58
24,コウゾ,1571.26,52
25,コウゾ,1476.67,10
25,コウゾ,1476.67,9
25,コウゾ,1476.67,14
25,コウゾ,1476.67,11
25,コウゾ,1476.67,17
