デンプン粒の種類,粒径範囲
現生アワ,10
現生アワ,11.54
現生アワ,7.69
現生アワ,8.46
現生アワ,11.54
現生アワ,7.69
現生アワ,7.69
現生アワ,10
現生アワ,11.54
現生アワ,9.23
現生アワ,8.46
現生アワ,8.46
現生アワ,11.54
現生アワ,6.92
現生アワ,7.69
現生アワ,6.15
現生アワ,7.69
現生アワ,6.92
現生アワ,13.2
現生アワ,13.2
現生イネ,6.11
現生イネ,7.78
現生イネ,6.11
現生イネ,5.56
現生イネ,5
現生イネ,6.67
現生イネ,6.67
現生イネ,6.67
現生イネ,7.22
現生イネ,6.67
現生イネ,8.33
現生イネ,6.11
現生イネ,6.11
現生イネ,6.67
現生イネ,5.56
現生イネ,6.67
現生イネ,5
現生イネ,5.56
現生イネ,6.8
現生イネ,5.56
現生キビ,7.2
現生キビ,5.56
現生キビ,7.22
現生キビ,8.33
現生キビ,8.33
現生キビ,8.33
現生キビ,8.33
現生キビ,9.44
現生キビ,6.11
現生キビ,8.33
現生キビ,8.33
現生キビ,7.22
現生キビ,11.11
現生キビ,10
現生キビ,9.44
現生キビ,10.56
現生キビ,10.56
現生キビ,11.67
現生キビ,10
現生キビ,10
現生ヒエ,9.41
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,7.69
現生ヒエ,6.92
現生ヒエ,10
現生ヒエ,6.15
現生ヒエ,7.69
現生ヒエ,13.08
現生ヒエ,11.54
現生ヒエ,7.69
現生ヒエ,10.77
現生ヒエ,12.31
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,10
現生ヒエ,10
イネ_松尾,6.58
イネ_松尾,8.76
イネ_松尾,6.58
イネ_松尾,6.78
イネ_松尾,5
イネ_松尾,4.47
イネ_松尾,8.9
イネ_松尾,5
イネ_松尾,14.98
イネ_松尾,14.98
イネ_松尾,16.27
イネ_松尾,9.81
イネ_松尾,11.39
イネ_松尾,9.2
イネ_松尾,18
イネ_松尾,14.1
イネ_松尾,7.07
イネ_松尾,9.2
イネ_松尾,11.2
イネ_松尾,9.96
イネ_松尾,7.07
イネ_松尾,11.18
イネ_松尾,14.99
イネ_松尾,2.24
イネ_松尾,18.43
イネ_松尾,11.17
イネ_松尾,11.17
イネ_松尾,11.2
イネ_松尾,8.06
イネ_松尾,11.81
イネ_松尾,7.9
