史料番号,紙素材,デンプン粒,鉱物,細胞組織,繊維,ほか
11-391,コウゾ,20,3,97,1,28
11-392,コウゾ,0,0,62,0,0
11-393,コウゾ,5,1,119,0,0
11-394,コウゾ,0,0,74,0,10
11-396,コウゾ,0,1,108,0,0
11-397,コウゾ,0,1,58,1,0
11-398,コウゾ,0,0,91,0,0
11-399,コウゾ,0,0,48,0,10
11-400,コウゾ,81,4,95,0,0
11-401,コウゾ,0,0,19,0,5
11-402,コウゾ,0,0,61,0,0
11-403,コウゾ,0,0,25,0,0
11-405,コウゾ,0,0,38,0,0
11-406,コウゾ,0,1,86,0,12
11-407,コウゾ,0,2,56,0,0
11-408,ガンピ,0,0,91,1,1
11-409,コウゾ,0,0,63,1,1
11-410,コウゾ,0,4,61,0,0
11-411,コウゾ,3,0,69,0,27
11-412,コウゾ,0,0,48,0,0
11-413,コウゾ,0,1,45,0,0
11-414,コウゾ,0,0,29,0,4
11-415,コウゾ,0,0,81,0,5
11-416,コウゾ,22,1,55,0,0
11-417,コウゾ,3,0,85,1,0
11-418,コウゾ,1,4,133,0,0
11-419,コウゾ,0,0,57,1,0
11-37551,コウゾ,6,1,78,0,0
11-37552,コウゾ,0,0,68,2,1
11-37553,コウゾ,0,1,66,0,0
11-37554,コウゾ,0,1,79,0,17
11-37555,コウゾ,0,0,68,1,5
47-2351,コウゾ,0,0,37,0,1
47-2352,コウゾ,0,0,45,1,0
47-2363,コウゾ,0,0,121,0,0
47-2365,コウゾ,0,0,200,0,0
47-2366,コウゾ,0,0,94,0,0
47-2367,コウゾ,0,0,68,0,0
47-2368,コウゾ,19,1,72,0,0
47-2369,コウゾ,2,0,76,2,37
47-2370,コウゾ,0,0,62,3,0
47-2371,コウゾ,17,0,55,0,0
47-2372,コウゾ,94,1,47,2,0
47-2373,コウゾ,0,0,68,0,24
47-2374,コウゾ,4,0,56,0,0
47-2375,コウゾ,62,0,35,0,13
47-2376,コウゾ,30,0,53,0,23
47-2377,コウゾ,0,0,78,0,0
47-2378,コウゾ,0,0,118,0,0
47-2379,コウゾ,0,0,98,1,0
47-2380,コウゾ,0,1,261,0,0
47-2381,コウゾ,0,1,85,0,0
47-2382,コウゾ,12,0,51,1,0
47-2383,コウゾ,5,0,125,0,0
47-2384,コウゾ,1,0,77,0,43
47-2385,コウゾ,19,3,9,0,52
47-2386,コウゾ,0,0,61,0,0
47-2387,コウゾ,0,1,169,0,0
47-2388,コウゾ,0,0,62,0,0
47-2389,コウゾ,0,0,41,0,0
47-2390,コウゾ,0,0,178,0,0
47-2394,コウゾ,0,0,48,0,0
47-2396,ガンピ,0,0,121,0,6
47-2397,コウゾ,0,0,119,0,0
47-2398,コウゾ,0,0,67,2,15
47-2399,コウゾ,0,0,62,2,54
47-2400,コウゾ,0,1,49,2,16
62-3148,ガンピ,0,0,116,0,0
62-3150,ガンピ,0,0,82,0,0
132-38720,コウゾ,0,1,37,0,0
132-38721,コウゾ,0,0,158,0,0
132-38722,コウゾ,0,0,25,0,0
132-38723,コウゾ,0,0,67,0,0
132-38724,コウゾ,0,0,55,0,2
132-38725,コウゾ,17,0,36,0,0
132-38726,コウゾ,0,0,60,0,0
132-38727,コウゾ,0,0,35,0,0
132-38728,コウゾ,0,0,35,0,0
132-38729,コウゾ,0,0,36,0,0
132-38730,コウゾ,0,0,36,0,0
132-38731,コウゾ,1,1,37,0,0
132-38732,コウゾ,0,2,38,0,0
132-38733,コウゾ,0,0,35,0,0
132-38734,コウゾ,4,0,26,0,0
132-38735,コウゾ,0,0,21,2,0
132-38736,コウゾ,0,0,36,0,0
132-38737,コウゾ,15,0,49,1,0
132-38738,コウゾ,0,3,48,0,0
N/A,コウゾ,0,0,5,0,23
