デンプン粒の種類,粒径範囲
現生アワ,10
現生アワ,11.54
現生アワ,7.69
現生アワ,8.46
現生アワ,11.54
現生アワ,7.69
現生アワ,7.69
現生アワ,10
現生アワ,11.54
現生アワ,9.23
現生アワ,8.46
現生アワ,8.46
現生アワ,11.54
現生アワ,6.92
現生アワ,7.69
現生アワ,6.15
現生アワ,7.69
現生アワ,6.92
現生アワ,13.2
現生アワ,13.2
現生イネ,6.11
現生イネ,7.78
現生イネ,6.11
現生イネ,5.56
現生イネ,5
現生イネ,6.67
現生イネ,6.67
現生イネ,6.67
現生イネ,7.22
現生イネ,6.67
現生イネ,8.33
現生イネ,6.11
現生イネ,6.11
現生イネ,6.67
現生イネ,5.56
現生イネ,6.67
現生イネ,5
現生イネ,5.56
現生イネ,6.8
現生イネ,5.56
現生キビ,7.2
現生キビ,5.56
現生キビ,7.22
現生キビ,8.33
現生キビ,8.33
現生キビ,8.33
現生キビ,8.33
現生キビ,9.44
現生キビ,6.11
現生キビ,8.33
現生キビ,8.33
現生キビ,7.22
現生キビ,11.11
現生キビ,10
現生キビ,9.44
現生キビ,10.56
現生キビ,10.56
現生キビ,11.67
現生キビ,10
現生キビ,10
現生ヒエ,9.41
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,7.69
現生ヒエ,6.92
現生ヒエ,10
現生ヒエ,6.15
現生ヒエ,7.69
現生ヒエ,13.08
現生ヒエ,11.54
現生ヒエ,7.69
現生ヒエ,10.77
現生ヒエ,12.31
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,10
現生ヒエ,10
イネ_函11,11.68
イネ_函11,6.8804
イネ_函11,8.343
イネ_函11,10.012
イネ_函11,6.674
イネ_函11,5.006
イネ_函11,11.685
イネ_函11,8.347
イネ_函11,10.016
イネ_函11,10.154
イネ_函11,8.347
イネ_函11,6.677
イネ_函11,6.883
イネ_函11,6.677
イネ_函11,6.677
イネ_函11,10.016
イネ_函11,8.347
イネ_函11,6.883
イネ_函11,5.008
イネ_函11,6.677
イネ_函11,6.683
イネ_函11,8.354
イネ_函11,8.354
イネ_函11,5.012
イネ_函11,8.354
イネ_函11,5.012
イネ_函11,12.724
イネ_函11,8.898
イネ_函11,8.519
イネ_函11,6.683
イネ_函11,6.689
イネ_函11,10.025
イネ_函11,5.284
